Designator,Mid X,Mid Y,Layer,Rotation
C1,85.200004,-126.025034,T,90.0
C1,37.499999,-126.025034,T,90.0
C1,85.200004,-113.325028,T,90.0
C1,37.499999,-113.325028,T,90.0
C1,85.200004,-100.625022,T,90.0
C1,37.499999,-100.625022,T,90.0
C1,85.200004,-87.925016,T,90.0
C1,37.499999,-87.925016,T,90.0
C1,85.200004,-75.22501,T,90.0
C1,37.499999,-75.22501,T,90.0
C1,85.200004,-62.525004,T,90.0
C1,37.499999,-62.525004,T,90.0
C1,85.200004,-49.824998,T,90.0
C1,37.499999,-49.824998,T,90.0
J1,97.700004,-124.450034,T,0.0
J1,49.999999,-124.450034,T,0.0
J1,97.700004,-111.750028,T,0.0
J1,49.999999,-111.750028,T,0.0
J1,97.700004,-99.050022,T,0.0
J1,49.999999,-99.050022,T,0.0
J1,97.700004,-86.350016,T,0.0
J1,49.999999,-86.350016,T,0.0
J1,97.700004,-73.65001,T,0.0
J1,49.999999,-73.65001,T,0.0
J1,97.700004,-60.950004,T,0.0
J1,49.999999,-60.950004,T,0.0
J1,97.700004,-48.249998,T,0.0
J1,49.999999,-48.249998,T,0.0
J2,107.200004,-126.550034,T,180.0
J2,59.499999,-126.550034,T,180.0
J2,107.200004,-113.850028,T,180.0
J2,59.499999,-113.850028,T,180.0
J2,107.200004,-101.150022,T,180.0
J2,59.499999,-101.150022,T,180.0
J2,107.200004,-88.450016,T,180.0
J2,59.499999,-88.450016,T,180.0
J2,107.200004,-75.75001,T,180.0
J2,59.499999,-75.75001,T,180.0
J2,107.200004,-63.050004,T,180.0
J2,59.499999,-63.050004,T,180.0
J2,107.200004,-50.349998,T,180.0
J2,59.499999,-50.349998,T,180.0
R1,89.200004,-126.225034,T,270.0
R1,41.499999,-126.225034,T,270.0
R1,89.200004,-113.525028,T,270.0
R1,41.499999,-113.525028,T,270.0
R1,89.200004,-100.825022,T,270.0
R1,41.499999,-100.825022,T,270.0
R1,89.200004,-88.125016,T,270.0
R1,41.499999,-88.125016,T,270.0
R1,89.200004,-75.42501,T,270.0
R1,41.499999,-75.42501,T,270.0
R1,89.200004,-62.725004,T,270.0
R1,41.499999,-62.725004,T,270.0
R1,89.200004,-50.024998,T,270.0
R1,41.499999,-50.024998,T,270.0
R2,90.700004,-126.225034,T,90.0
R2,42.999999,-126.225034,T,90.0
R2,90.700004,-113.525028,T,90.0
