Designator,Mid X,Mid Y,Layer,Rotation
C1,295.525,-83.25,B,0.0
C10,295.0,-86.275,B,90.0
C11,293.175,-66.55,B,180.0
C12,299.2,-63.725,B,90.0
C2,302.8,-81.5,B,0.0
C3,292.75,-72.5,B,270.0
C4,302.25,-69.25,B,180.0
C5,304.8,-79.1,B,90.0
C6,295.525,-81.75,B,0.0
C7,302.25,-67.75,B,180.0
C8,298.0,-82.775,B,270.0
C9,303.25,-86.275,B,90.0
D_0,17.525,-9.525,B,90.0
D_1,55.625,-9.525,B,90.0
D_10,246.125,-9.525,B,90.0
D_11,265.175,-9.525,B,90.0
D_12,284.225,-9.525,B,90.0
D_13,308.0375,-9.525,B,90.0
D_14,327.0875,-9.525,B,90.0
D_15,330.1375,-9.525,B,90.0
D_16,17.525,-33.3375,B,90.0
D_17,36.575,-33.3375,B,90.0
D_18,55.625,-33.3375,B,90.0
D_19,74.675,-33.3375,B,90.0
D_2,74.675,-9.525,B,90.0
D_20,93.725,-33.3375,B,90.0
D_21,112.775,-33.3375,B,90.0
D_22,131.825,-33.3375,B,90.0
D_23,150.875,-33.3375,B,90.0
D_24,169.925,-33.3375,B,90.0
D_25,188.975,-33.3375,B,90.0
D_26,208.025,-33.3375,B,90.0
D_27,227.075,-33.3375,B,90.0
D_28,230.125,-33.3375,B,90.0
D_29,246.125,-33.3375,B,90.0
D_3,93.725,-9.525,B,90.0
D_30,286.225,-33.3375,B,90.0
D_31,308.0375,-33.3375,B,90.0
D_32,327.0875,-33.3375,B,90.0
D_33,330.1375,-33.3375,B,90.0
D_34,22.2875,-52.3875,B,90.0
D_35,46.1,-52.3875,B,90.0
D_36,65.15,-52.3875,B,90.0
D_37,84.2,-52.3875,B,90.0
D_38,103.25,-52.3875,B,90.0
D_39,122.3,-52.3875,B,90.0
D_4,112.775,-9.525,B,90.0
D_40,141.35,-52.3875,B,90.0
D_41,160.4,-52.3875,B,90.0
D_42,179.45,-52.3875,B,90.0
D_43,198.5,-52.3875,B,90.0
D_44,217.55,-52.3875,B,90.0
D_45,236.6,-52.3875,B,90.0
D_46,255.65,-52.3875,B,90.0
D_47,279.4625,-52.3875,B,90.0
D_48,308.0375,-52.3875,B,90.0
